memorial_id,squadron,motto_text,motto_language,source,evidence_url,verifier,date_verified,date_deployed,notes
kinder-scout-1-w5719,150 Squadron,Αιει Φθανομεν (Aiei Phthanomen),english,data_entry,,holly,2026-04-06,2026-04-06,
kirkley-lowestoft-ll356,138 (SD) Squadron,For freedom,english,data_entry,,holly,2026-04-06,2026-04-06,
laughterton-2-lm292,103 Sqdn.,Noli me tangere,english,data_entry,,holly,2026-04-06,2026-04-06,
laxton-lp841,82 OTU,Peace Through Strength,english,data_entry,,holly,2026-04-06,2026-04-06,
little-atwick-hx351,158 Squadron,Strength in unity,english,data_entry,,holly,2026-04-06,2026-04-06,
marchington-wellington-mk-x,28 OTU,Peace Through Strength,english,data_entry,,holly,2026-04-06,2026-04-06,
mundford-mk773,15 Squadron,Aim sure,english,data_entry,,holly,2026-04-06,2026-04-06,
north-thoresby-ed583,100 Sqdn.,Sarang tebuan jangan dijolok,english,data_entry,,holly,2026-04-06,2026-04-06,
plungar-ed549,100 Sqdn.,Sarang tebuan jangan dijolok,english,data_entry,,holly,2026-04-06,2026-04-06,
pocklington-ed393,50 Squadron,From defence to attack,english,data_entry,,holly,2026-04-06,2026-04-06,
revesby-nd415,97 Sqdn.,Achieve your aim,english,data_entry,,holly,2026-04-06,2026-04-06,
salford-pb304,106 Squadron,Pro libertate,english,data_entry,,holly,2026-04-06,2026-04-06,
salthouse-lm720,61 Squadron,Per purum tonantes,latin,data_entry,,holly,2026-04-06,2026-04-06,
scredington-ed439,83 Sqdn.,Strike to defend,english,data_entry,,holly,2026-04-06,2026-04-06,
skegness-x3027,49 Sqdn.,Cave canem,english,data_entry,,holly,2026-04-06,2026-04-06,
somersham-x3811,156 Squadron,We light the way,english,data_entry,,holly,2026-04-06,2026-04-06,
southrepps-hampden-x-3023,44 Squadron,Fulmina regis iusta,english,data_entry,,holly,2026-04-06,2026-04-06,
staunton-in-the-vale-wellington-w-4270,61 Sqdn.,Per purum tonantes,latin,data_entry,,holly,2026-04-06,2026-04-06,
stoke-holy-cross-blenheim-z-7304,18 (Burma) Squadron,With courage and faith,english,data_entry,,holly,2026-04-06,2026-04-06,
tattershall-1-w4175,97 Sqdn.,Achieve your aim,english,data_entry,,holly,2026-04-06,2026-04-06,
tattershall-2-pb422,97 Sqdn.,Achieve your aim,english,data_entry,,holly,2026-04-06,2026-04-06,
timberlands-fen-jb534,106 Sqdn.,Pro libertate,english,data_entry,,holly,2026-04-06,2026-04-06,
ulceby-1-jb670,103 Sqdn.,Noli me tangere,english,data_entry,,holly,2026-04-06,2026-04-06,
ulceby-cross-pb476,12 Sqdn.,Leads the field,english,data_entry,,holly,2026-04-06,2026-04-06,
upwaltham-dv382,617 (Dambuster) Squadron,Apres moi le deluge,english,data_entry,,holly,2026-04-06,2026-04-06,
waithe-1-jb678,100 Sqdn.,Sarang tebuan jangan dijolok,english,data_entry,,holly,2026-04-06,2026-04-06,
waithe-2-jb674,100 Sqdn.,Sarang tebuan jangan dijolok,english,data_entry,,holly,2026-04-06,2026-04-06,
waithe-4-jb560,100 Sqdn.,Sarang tebuan jangan dijolok,english,data_entry,,holly,2026-04-06,2026-04-06,
weasenham-st-peter-three-crashes-commemorated-fl206-boston-al285,114 Sqdn West Raynham / 98 Sqdn / 342 (Lorraine) Sqdn,With speed I strike,english,data_entry,,holly,2026-04-06,2026-04-06,
wollaston-l7380,207 Squadron,Semper paratus,latin,data_entry,,holly,2026-04-06,2026-04-06,
